country,highest_education,title,pay_usd
Portugal,Master’s degree,Data Scientist,"10-20,000"
"Egypt, Arab Rep.",Some college/university study without earning a bachelor’s degree,Student,"20-30,000"
France,Master’s degree,Software Engineer,"30-40,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Professional degree,Other,I do not wish to disclose my approximate yearly compensation
Poland,,,
Russian Federation,I prefer not to answer,Data Analyst,"0-10,000"
China,,,
Spain,Master’s degree,Student,
Russian Federation,Master’s degree,Data Scientist,"10-20,000"
India,Master’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
China,Doctoral degree,Student,"0-10,000"
China,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Student,
India,Bachelor’s degree,Software Engineer,"10-20,000"
India,Master’s degree,Data Analyst,"10-20,000"
India,Bachelor’s degree,Student,"0-10,000"
Russian Federation,Master’s degree,Software Engineer,"10-20,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Belgium,Master’s degree,Other,"30-40,000"
India,Bachelor’s degree,Student,
India,Professional degree,,
India,Bachelor’s degree,Product/Project Manager,"80-90,000"
India,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Student,"10-20,000"
Italy,Doctoral degree,Data Scientist,"50-60,000"
Portugal,Master’s degree,Student,
India,Bachelor’s degree,Student,
Spain,,,
India,Professional degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,Bachelor’s degree,,
India,Bachelor’s degree,Not employed,
Italy,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Professional degree,Student,"30-40,000"
India,Doctoral degree,Student,
"Iran, Islamic Rep.",Master’s degree,Software Engineer,"0-10,000"
Australia,Master’s degree,Chief Officer,
India,Doctoral degree,Data Scientist,"10-20,000"
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Student,
India,Doctoral degree,Research Scientist,"50-60,000"
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
"Iran, Islamic Rep.",Doctoral degree,Data Analyst,
India,Bachelor’s degree,Data Scientist,"0-10,000"
India,Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Business Analyst,"20-30,000"
Spain,Bachelor’s degree,Statistician,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Scientist,"60-70,000"
India,Master’s degree,Data Analyst,"0-10,000"
India,Master’s degree,Software Engineer,"0-10,000"
India,Master’s degree,,
Japan,Doctoral degree,Student,"0-10,000"
India,Master’s degree,Data Scientist,"10-20,000"
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,,
China,Master’s degree,Software Engineer,"70-80,000"
Russian Federation,No formal education past high school,Data Analyst,"50-60,000"
India,Master’s degree,Software Engineer,"10-20,000"
India,Master’s degree,Not employed,
India,Master’s degree,Software Engineer,"0-10,000"
Ireland,No formal education past high school,Data Scientist,"200-250,000"
India,Bachelor’s degree,Consultant,"60-70,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Software Engineer,"10-20,000"
India,,,
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Poland,Master’s degree,Data Scientist,"20-30,000"
Tunisia,Master’s degree,Research Scientist,"0-10,000"
United Kingdom,Doctoral degree,Data Scientist,"90-100,000"
India,Bachelor’s degree,Student,
India,Master’s degree,Data Scientist,"0-10,000"
India,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Analyst,
Sweden,Doctoral degree,Other,"30-40,000"
India,,,
India,Bachelor’s degree,Student,
India,Master’s degree,Not employed,
India,Master’s degree,,
India,Bachelor’s degree,Student,
India,Master’s degree,Business Analyst,"0-10,000"
India,Professional degree,Student,
South Africa,Doctoral degree,Business Analyst,"80-90,000"
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Chief Officer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Other,
India,Bachelor’s degree,Software Engineer,"0-10,000"
"Korea, Rep.",,,
India,No formal education past high school,Software Engineer,"20-30,000"
India,Professional degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,,
India,Doctoral degree,Research Scientist,"30-40,000"
India,Master’s degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Other,"10-20,000"
Spain,Master’s degree,Data Scientist,"30-40,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Professional degree,Salesperson,"0-10,000"
India,Doctoral degree,Other,I do not wish to disclose my approximate yearly compensation
Germany,Bachelor’s degree,Data Scientist,
Spain,Bachelor’s degree,Consultant,"10-20,000"
India,Master’s degree,Data Scientist,"0-10,000"
Germany,Master’s degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
China,Bachelor’s degree,Business Analyst,"10-20,000"
Japan,Bachelor’s degree,Software Engineer,"40-50,000"
India,Bachelor’s degree,Manager,"20-30,000"
India,Bachelor’s degree,Student,
India,Master’s degree,Not employed,
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Business Analyst,"20-30,000"
India,Master’s degree,Student,
India,Bachelor’s degree,Software Engineer,
India,Master’s degree,Manager,"0-10,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Professional degree,Manager,
India,Professional degree,Data Scientist,"0-10,000"
Poland,Master’s degree,Student,"20-30,000"
India,Master’s degree,Student,"100-125,000"
Kenya,Master’s degree,Other,"0-10,000"
Germany,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Software Engineer,"10-20,000"
India,Master’s degree,Student,"0-10,000"
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
"Hong Kong SAR, China",Doctoral degree,,
India,Master’s degree,Student,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Portugal,,,
Ukraine,No formal education past high school,Software Engineer,"0-10,000"
India,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,
China,Master’s degree,Student,
India,Master’s degree,Data Engineer,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Data Scientist,"10-20,000"
India,,,
India,Bachelor’s degree,Software Engineer,"70-80,000"
India,Master’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Data Scientist,
India,Doctoral degree,Not employed,
India,Master’s degree,Data Analyst,"0-10,000"
India,Master’s degree,Student,"0-10,000"
India,,,
India,Doctoral degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Russian Federation,Master’s degree,Student,"0-10,000"
India,Master’s degree,,
India,,,
Singapore,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Germany,Bachelor’s degree,,
India,Professional degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Israel,Bachelor’s degree,Other,"20-30,000"
"Iran, Islamic Rep.",,,
"Korea, Rep.",Bachelor’s degree,Other,"60-70,000"
India,No formal education past high school,Data Analyst,
India,Master’s degree,Manager,"50-60,000"
India,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
Japan,I prefer not to answer,Other,"30-40,000"
India,Doctoral degree,,
India,Bachelor’s degree,Data Scientist,
India,Bachelor’s degree,,
India,Master’s degree,,
India,Master’s degree,Other,"20-30,000"
United Kingdom,Doctoral degree,Research Scientist,"60-70,000"
India,Master’s degree,Not employed,
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,DBA/Database Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,Master’s degree,Data Scientist,"0-10,000"
China,Master’s degree,Data Analyst,"20-30,000"
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,,,
Germany,Master’s degree,Student,
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Not employed,
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Russian Federation,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Marketing Analyst,"20-30,000"
India,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Student,"0-10,000"
Russian Federation,Master’s degree,Business Analyst,"30-40,000"
India,Bachelor’s degree,Software Engineer,"90-100,000"
India,Bachelor’s degree,Student,
India,Master’s degree,DBA/Database Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
United States,Master’s degree,Product/Project Manager,"100-125,000"
India,Bachelor’s degree,Student,
India,Master’s degree,Student,"0-10,000"
Nigeria,Bachelor’s degree,Data Analyst,"0-10,000"
India,Master’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
India,I prefer not to answer,Other,
South Africa,Master’s degree,Data Scientist,"100-125,000"
Russian Federation,Master’s degree,Data Analyst,"10-20,000"
India,Master’s degree,Business Analyst,
India,Bachelor’s degree,Business Analyst,
India,Doctoral degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Software Engineer,"10-20,000"
India,Master’s degree,,
India,Master’s degree,Data Scientist,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,DBA/Database Engineer,"0-10,000"
India,Bachelor’s degree,Other,"0-10,000"
Malaysia,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Not employed,
India,Professional degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Belgium,Master’s degree,,
Singapore,,,
India,Master’s degree,Data Scientist,"30-40,000"
Indonesia,Master’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
Italy,Master’s degree,Data Scientist,"0-10,000"
Indonesia,,,
India,Master’s degree,,
Germany,Master’s degree,Research Assistant,"20-30,000"
Ireland,,,
India,Master’s degree,Consultant,"150-200,000"
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,,
India,I prefer not to answer,Manager,"0-10,000"
India,Master’s degree,Not employed,
China,Doctoral degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
Malaysia,Doctoral degree,Other,"0-10,000"
India,Master’s degree,Software Engineer,"70-80,000"
India,Master’s degree,Data Engineer,"10-20,000"
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Chief Officer,I do not wish to disclose my approximate yearly compensation
India,,,
"Egypt, Arab Rep.",Bachelor’s degree,Software Engineer,"0-10,000"
China,Some college/university study without earning a bachelor’s degree,Software Engineer,"10-20,000"
China,Some college/university study without earning a bachelor’s degree,,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Scientist,"0-10,000"
China,Doctoral degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Research Scientist,"10-20,000"
United Kingdom,Master’s degree,Data Analyst,"60-70,000"
India,Bachelor’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Software Engineer,"30-40,000"
India,Some college/university study without earning a bachelor’s degree,Student,
Russian Federation,No formal education past high school,Software Engineer,"50-60,000"
Japan,Doctoral degree,,
Nigeria,Bachelor’s degree,Data Analyst,"0-10,000"
Morocco,Master’s degree,,
India,Master’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Business Analyst,"0-10,000"
India,No formal education past high school,Business Analyst,"30-40,000"
Russian Federation,Master’s degree,Data Scientist,"20-30,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Master’s degree,Research Scientist,"90-100,000"
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,I prefer not to answer,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Not employed,
Thailand,Bachelor’s degree,Software Engineer,
China,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,,
Japan,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Scientist,"10-20,000"
New Zealand,Some college/university study without earning a bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Hungary,Some college/university study without earning a bachelor’s degree,Salesperson,I do not wish to disclose my approximate yearly compensation
Germany,Master’s degree,Student,"0-10,000"
United Kingdom,Doctoral degree,Research Assistant,
Nigeria,Bachelor’s degree,Not employed,
India,Bachelor’s degree,Student,"20-30,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Hungary,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Spain,Doctoral degree,Principal Investigator,"80-90,000"
Indonesia,I prefer not to answer,Other,
Germany,Master’s degree,Data Analyst,"70-80,000"
China,,,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
New Zealand,Bachelor’s degree,Software Engineer,
India,Bachelor’s degree,Software Engineer,"10-20,000"
Indonesia,No formal education past high school,Software Engineer,"10-20,000"
India,Master’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Japan,Master’s degree,Other,I do not wish to disclose my approximate yearly compensation
"Korea, Rep.",Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,,
India,Bachelor’s degree,Other,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Some college/university study without earning a bachelor’s degree,Student,
China,Bachelor’s degree,Developer Advocate,"50-60,000"
China,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Business Analyst,
Bangladesh,Master’s degree,Data Scientist,"10-20,000"
India,Bachelor’s degree,Not employed,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Software Engineer,"0-10,000"
India,Bachelor’s degree,Data Scientist,
India,Bachelor’s degree,Software Engineer,"10-20,000"
Romania,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Other,
Israel,Master’s degree,Data Scientist,"80-90,000"
China,Bachelor’s degree,Other,I do not wish to disclose my approximate yearly compensation
"Iran, Islamic Rep.",Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Russian Federation,Bachelor’s degree,Data Engineer,"30-40,000"
India,Bachelor’s degree,Manager,"100-125,000"
India,Master’s degree,Student,"0-10,000"
China,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
Japan,Bachelor’s degree,Student,
India,Master’s degree,Data Scientist,"20-30,000"
India,Bachelor’s degree,Student,
Indonesia,Bachelor’s degree,Data Analyst,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Analyst,
China,Doctoral degree,Data Engineer,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Some college/university study without earning a bachelor’s degree,Not employed,
India,Master’s degree,Other,"10-20,000"
India,Bachelor’s degree,Student,
Netherlands,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Research Assistant,I do not wish to disclose my approximate yearly compensation
Turkey,,,
Japan,,,
Romania,Some college/university study without earning a bachelor’s degree,Software Engineer,"30-40,000"
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Product/Project Manager,"300-400,000"
India,,,
China,Master’s degree,Software Engineer,"10-20,000"
Russian Federation,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Data Scientist,
Russian Federation,No formal education past high school,Data Engineer,"10-20,000"
India,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,I prefer not to answer,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Doctoral degree,Research Assistant,"0-10,000"
India,I prefer not to answer,Other,
China,,,
Russian Federation,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Software Engineer,"0-10,000"
South Africa,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Doctoral degree,Research Assistant,"0-10,000"
Japan,,,
India,Bachelor’s degree,Data Scientist,
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Other,"10-20,000"
India,Master’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Doctoral degree,Other,I do not wish to disclose my approximate yearly compensation
Vietnam,Master’s degree,Data Scientist,"10-20,000"
Ukraine,Bachelor’s degree,Student,
India,Bachelor’s degree,Data Scientist,"10-20,000"
India,Bachelor’s degree,Student,"0-10,000"
Spain,No formal education past high school,Software Engineer,"50-60,000"
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Data Scientist,
China,Doctoral degree,,
China,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
China,Doctoral degree,Not employed,
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Data Analyst,"10-20,000"
Italy,Bachelor’s degree,Student,
India,Master’s degree,Research Assistant,"10-20,000"
India,Master’s degree,Student,"0-10,000"
United Kingdom,Master’s degree,Data Engineer,"30-40,000"
Hungary,Bachelor’s degree,Data Scientist,"60-70,000"
Spain,Master’s degree,Data Engineer,"20-30,000"
India,Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Singapore,Doctoral degree,Data Scientist,"70-80,000"
Netherlands,Master’s degree,Data Analyst,"0-10,000"
China,Bachelor’s degree,Student,
Indonesia,Bachelor’s degree,Consultant,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Analyst,"10-20,000"
India,Master’s degree,Business Analyst,"0-10,000"
Germany,Master’s degree,Student,"0-10,000"
India,Master’s degree,Software Engineer,"0-10,000"
Malaysia,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Other,"0-10,000"
Turkey,Master’s degree,Student,
China,,,
Morocco,Doctoral degree,Data Engineer,"10-20,000"
India,Master’s degree,Student,"0-10,000"
India,Master’s degree,Data Analyst,"0-10,000"
China,,,
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Spain,Doctoral degree,Other,"60-70,000"
India,Master’s degree,Data Scientist,"400-500,000"
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
China,Some college/university study without earning a bachelor’s degree,Data Analyst,"0-10,000"
Bangladesh,Master’s degree,Student,
China,Master’s degree,Data Engineer,"0-10,000"
Russian Federation,Bachelor’s degree,Student,
India,Master’s degree,,
India,Bachelor’s degree,Data Scientist,
India,Bachelor’s degree,Not employed,
India,I prefer not to answer,Salesperson,"60-70,000"
Germany,Bachelor’s degree,Consultant,"50-60,000"
Thailand,Master’s degree,Data Analyst,"0-10,000"
India,Master’s degree,Data Engineer,"100-125,000"
Switzerland,Doctoral degree,Student,"40-50,000"
China,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
Japan,Master’s degree,Data Scientist,"60-70,000"
Japan,Master’s degree,Software Engineer,"60-70,000"
Sweden,Master’s degree,Not employed,
Bangladesh,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Spain,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,,
"Hong Kong SAR, China",Bachelor’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
Thailand,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Developer Advocate,"100-125,000"
China,Master’s degree,,
United States,Some college/university study without earning a bachelor’s degree,,
France,Master’s degree,Chief Officer,"70-80,000"
United Kingdom,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Singapore,Master’s degree,Data Analyst,"90-100,000"
Sweden,Master’s degree,Data Engineer,"40-50,000"
Bangladesh,Master’s degree,Other,"0-10,000"
India,Master’s degree,Data Analyst,
Malaysia,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Student,"0-10,000"
India,Bachelor’s degree,Not employed,
Netherlands,Master’s degree,Research Scientist,"50-60,000"
United Kingdom,Bachelor’s degree,Software Engineer,"40-50,000"
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Student,"0-10,000"
United Kingdom,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
Indonesia,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Data Scientist,
India,Bachelor’s degree,Software Engineer,"0-10,000"
India,Master’s degree,Software Engineer,"10-20,000"
India,Bachelor’s degree,Not employed,
India,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,
India,Doctoral degree,,
India,Bachelor’s degree,Student,"0-10,000"
India,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Tunisia,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
France,Master’s degree,Student,
India,Bachelor’s degree,Software Engineer,"20-30,000"
France,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Doctoral degree,Research Scientist,
India,Bachelor’s degree,Not employed,
India,Bachelor’s degree,Student,"0-10,000"
Sweden,Master’s degree,Software Engineer,
South Africa,Master’s degree,Student,I do not wish to disclose my approximate yearly compensation
Turkey,,,
India,Master’s degree,Data Scientist,"10-20,000"
China,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Singapore,Master’s degree,Business Analyst,
Indonesia,Bachelor’s degree,,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Vietnam,Master’s degree,Data Engineer,"0-10,000"
India,Bachelor’s degree,Software Engineer,"40-50,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,
Indonesia,Bachelor’s degree,Student,"0-10,000"
India,Doctoral degree,Product/Project Manager,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Analyst,"10-20,000"
Japan,Doctoral degree,Research Scientist,
India,Some college/university study without earning a bachelor’s degree,Student,"0-10,000"
India,Doctoral degree,Research Scientist,"0-10,000"
United Kingdom,Master’s degree,Student,
China,Master’s degree,Student,
Singapore,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Japan,Doctoral degree,Chief Officer,
Pakistan,Bachelor’s degree,Software Engineer,"0-10,000"
India,,,
Japan,Bachelor’s degree,Software Engineer,"40-50,000"
India,Master’s degree,Other,"20-30,000"
India,Master’s degree,Data Scientist,"0-10,000"
China,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
France,Master’s degree,Data Scientist,
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Engineer,"20-30,000"
India,Bachelor’s degree,Student,
India,Bachelor’s degree,Software Engineer,"10-20,000"
China,Bachelor’s degree,Research Scientist,
United Kingdom,,,
France,Master’s degree,Data Scientist,
China,Master’s degree,Software Engineer,"0-10,000"
Japan,Doctoral degree,Student,I do not wish to disclose my approximate yearly compensation
Belarus,Bachelor’s degree,Student,"0-10,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Doctoral degree,Other,"0-10,000"
Germany,I prefer not to answer,Not employed,
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Master’s degree,Software Engineer,"0-10,000"
Russian Federation,Master’s degree,Data Scientist,"30-40,000"
India,Bachelor’s degree,Data Engineer,I do not wish to disclose my approximate yearly compensation
Spain,Doctoral degree,Research Scientist,
India,Bachelor’s degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Russian Federation,Master’s degree,Software Engineer,
Japan,,,
Singapore,Bachelor’s degree,Business Analyst,I do not wish to disclose my approximate yearly compensation
France,Bachelor’s degree,Student,
India,Doctoral degree,Student,"10-20,000"
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,,
Kenya,Bachelor’s degree,Software Engineer,
India,Master’s degree,Data Analyst,"0-10,000"
Switzerland,Master’s degree,Data Analyst,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Other,"0-10,000"
Philippines,Bachelor’s degree,Data Analyst,"0-10,000"
Japan,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Data Scientist,"0-10,000"
Ukraine,Bachelor’s degree,Student,"0-10,000"
United Kingdom,No formal education past high school,Software Engineer,"150-200,000"
Bangladesh,Bachelor’s degree,Student,"0-10,000"
China,Bachelor’s degree,,
United Kingdom,Doctoral degree,,
India,Master’s degree,Other,"0-10,000"
India,Bachelor’s degree,Student,"0-10,000"
China,No formal education past high school,Business Analyst,I do not wish to disclose my approximate yearly compensation
France,Master’s degree,Data Scientist,
India,I prefer not to answer,Data Analyst,I do not wish to disclose my approximate yearly compensation
Japan,Doctoral degree,,
India,Master’s degree,Other,"0-10,000"
Spain,Master’s degree,Data Scientist,"40-50,000"
Netherlands,Master’s degree,Data Scientist,"30-40,000"
India,Master’s degree,Data Analyst,"0-10,000"
Vietnam,Bachelor’s degree,Data Analyst,"0-10,000"
Spain,Bachelor’s degree,Student,"10-20,000"
Japan,Doctoral degree,Research Scientist,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Student,I do not wish to disclose my approximate yearly compensation
Japan,Some college/university study without earning a bachelor’s degree,Developer Advocate,"10-20,000"
India,I prefer not to answer,Software Engineer,I do not wish to disclose my approximate yearly compensation
China,Some college/university study without earning a bachelor’s degree,,
Japan,Bachelor’s degree,Consultant,"60-70,000"
Japan,Master’s degree,Data Analyst,"30-40,000"
Switzerland,Master’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
India,Bachelor’s degree,Software Engineer,I do not wish to disclose my approximate yearly compensation
Germany,Master’s degree,Data Engineer,"60-70,000"
Japan,No formal education past high school,Student,I do not wish to disclose my approximate yearly compensation
Turkey,Master’s degree,Software Engineer,"0-10,000"
Japan,Master’s degree,Salesperson,"40-50,000"
Tunisia,Doctoral degree,Data Scientist,I do not wish to disclose my approximate yearly compensation
Japan,Master’s degree,Data Analyst,"100-125,000"
